"","Well","Samples","Lake","Target","Concentration","Ch1+Ch2+","Ch1-Ch2+","Ch1+Ch2-","Ch1-Ch2-","logConc","log_AMR_tot","co_occur","Date","Sample","Fish_ID","Initials","Mass","Length","Fibrosis","Sex","Repro_State","Schisto_Free","Schisto_Cyst","Eust","Fib","Indv_AMR_mass","Indv_AMR_gene_mass","Lake_AMR","Lake_AMR_gene"
"1","A01","BLA_1","BLA","FAM",3300,2166,271,10028,514,8.10198073185319,8.17357548663415,"floR & tap","04-06-2023","BLA_1",1,"AKH",0.78,39.32,0,"F",3,0,0,0,"N",10.4789429315822,10.3871547844272,2.43141990251436,2.41174081279949
"2","A02","BLA_2","BLA","FAM",3470,1570,180,10500,484,8.15219801586179,9.09234481373847,"floR & tap","04-06-2023","BLA_2",2,"AKH",0.76,41.25,2,"M",3,5,0,0,"Y",11.9636115970243,10.7265763366602,7.97574106468287,7.31210034685154
"3","A03","BLA_3","BLA","FAM",2870,1349,234,10614,911,7.96241568012106,8.01367414283268,"floR & tap","04-06-2023","BLA_3",3,"AKH",1.95,56.1,0,"F",2,0,0,0,"N",4.10957648350394,4.08329009236978,2.43141990251436,2.41174081279949
"4","A04","DUG_1","DUG","FAM",1480,547,374,9001,3419,7.3004728142678,7.35564110297425,"floR & tap","11-06-2023","DUG_1",1,"AKH",2.15,55.91,0,"F",3,0,0,0,"N",3.42122841998802,3.39556875082223,3.42122841998802,3.39556875082223
"5","A05","DUG_2","DUG","FAM",1621,461,184,8152,2720,7.39141523467536,7.43248380791712,"floR & tap","11-06-2023","DUG_2",2,"AKH",2.69,59.06,0,"M",3,0,0,0,"N",2.76300513305469,2.74773800545552,3.32401406261184,3.2937917973073
"6","A06","DUG_3","DUG","FAM",1364,870,528,8960,3965,7.21890970761906,7.3038432252777,"floR & tap","11-06-2023","DUG_3",3,"AKH",1.88,56.03,0,"M",3,0,0,0,"N",3.88502299216899,3.83984558915907,3.32401406261184,3.2937917973073
"7","A07","LCL_1","LCL","FAM",3300,1646,232,10904,576,8.10198073185319,8.15450017515194,"floR & tap","19-06-2023","LCL_1",1,"AKH",1.71,54.24,0,"M",3,0,0,0,"N",4.76871355272043,4.73800042798432,2.63388796759599,2.60266440780858
"8","A08","LCL_2","LCL","FAM",2630,1582,657,10365,771,7.87511928104029,7.95402108727804,"floR & tap","19-06-2023","LCL_2",2,"AKH",3.15,63.65,0,"M",3,0,0,0,"N",2.52508605945335,2.50003786699692,2.63388796759599,2.60266440780858
"9","A09","LCL_3","LCL","FAM",2530,1543,622,11109,1052,7.83636976054512,7.9098566672694,"floR & tap","19-06-2023","LCL_3",3,"AKH",2.47,57.47,0,"M",3,0,0,1,"N",3.20237112035198,3.17261933625309,2.63388796759599,2.60266440780858
"10","B01","BRB_1","BRB","FAM",2560,4113,1167,8137,403,7.84815308619953,8.04782935745784,"floR & tap","19-06-2023","BRB_1",1,"AKH",0.83,42.04,0,"M",3,0,0,0,"N",9.69617994874439,9.45560612795124,6.82245025119325,6.70743052872956
"11","B02","BRB_2","BRB","FAM",4370,4725,276,8706,59,8.38274709486331,8.49739856408806,"floR & tap","19-06-2023","BRB_2",2,"AKH",0.72,41.95,0,"F",3,0,0,0,"N",11.8019424501223,11.6427042984213,2.96090185198894,2.92109231406368
"12","B03","BRB_3","BRB","FAM",2980,2114,306,9829,723,8.00001409367807,8.07837810362652,"floR & tap","19-06-2023","BRB_3",3,"AKH",0.75,39.52,0,"M",3,0,0,0,"N",10.7711708048354,10.6666854582374,6.82245025119325,6.70743052872956
"13","B04","THE_1","THE","FAM",2340,2204,578,8560,1131,7.75833346749091,7.87777633327726,"floR & tap","23-06-2023","THE_1",1,"AKH",4.66,71.82,0,"M",3,2,0,0,"N",1.69050994276336,1.6648784265002,1.93630466450265,1.89908421232549
"14","B05","THE_2","THE","FAM",1684,2046,1134,7985,2015,7.42952084278646,7.60589000105312,"floR & tap","23-06-2023","THE_2",2,"AKH",3.39,65.79,0,"M",3,0,0,0,"N",2.24362536904222,2.19159906866857,1.93630466450265,1.89908421232549
"15","B06","THE_3","THE","FAM",2002,2075,712,7983,1531,7.60240133566582,7.74283595543075,"floR & tap","23-06-2023","THE_3",3,"AKH",4.13,71.67,0,"M",3,0,0,0,"N",1.87477868170236,1.8407751418077,1.93630466450265,1.89908421232549
"16","B07","TSI_1","TSI","FAM",2590,5284,1381,6788,123,7.85979918056211,8.12710918534638,"floR & tap","27-06-2023","TSI_1",1,"GAC",1.45,47.17,0,"F",1,2,0,0,"N",5.60490288644578,5.42055115900835,2.80245144322289,2.71027557950418
"17","B08","TSI_2","TSI","FAM",3040,3683,816,8494,180,8.01994168767737,8.16990264735914,"floR & tap","27-06-2023","TSI_2",2,"GAC",3.07,62,0,"M",3,0,0,0,"N",2.66120607405835,2.61235885592097,1.02005351682095,1.00359971968875
"18","B09","TSI_3","TSI","FAM",4080,3922,358,9584,75,8.31409733540581,8.414717399827,"floR & tap","27-06-2023","TSI_3",3,"GAC",5.93,78.7,0,"M",3,0,0,0,"N",1.41900799322546,1.40204002283403,1.02005351682095,1.00359971968875
"19","C01","ROB_1","ROB","FAM",3040,1637,341,11277,715,8.01994168767737,8.0774471493312,"floR & tap","15-06-2023","ROB_1",1,"AKH",0.74,37.73,0,"F",3,0,0,0,"N",10.9154691207178,10.8377590374018,4.56306364658242,4.49963861852501
"20","C02","ROB_2","ROB","FAM",4510,5082,283,8991,29,8.4142741374084,8.52912176228151,"floR & tap","15-06-2023","ROB_2",2,"AKH",1.09,46.26,0,"F",3,0,0,0,"N",7.82488235071698,7.71951755725541,4.56306364658242,4.49963861852501
"21","C03","ROB_3","ROB","FAM",3950,5913,423,7467,61,8.28172399041139,8.44870019497094,"floR & tap","15-06-2023","ROB_3",3,"AKH",0.64,39.38,0,"F",3,0,0,0,"N",13.2010940546421,12.9401937350178,4.56306364658242,4.49963861852501
"22","C08","ORM_2","ORM","FAM",0.08,0,2,1,13850,0.0769610411361284,0.398776119957368,"floR & tap","11-06-2023","ORM_2",2,"AKH",1.14,47.6,0,"F",3,0,0,0,"N",0.349803613997691,0.0675096852071302,0.349803613997691,0.128101938926787
"23","C09","ORM_3","ORM","FAM",0,0,0,0,8589,0,0.425267735404344,"Neither","11-06-2023","ORM_3",3,"AKH",1.57,52.54,0,"M",3,0,0,0,"N",0.270871169047353,0,0.180580779364902,0.0296734484872948
"24","D01","LST_1","LST","FAM",0.15,1,0,1,15315,0.139761942375159,0.385262400790645,"floR & tap","13-06-2023","LST_1",1,"AKH",1.51,35.74,0,"F",3,0,0,0,"N",0.255140662775262,0.0925575777318931,0.814058550822013,0.422371666506851
"25","D02","LST_2","LST","FAM",0.39,0,0,5,15215,0.3293037471426,0.482426149244293,"floR","13-06-2023","LST_2",2,"AKH",0.98,43.78,0,"F",3,0,0,0,"N",0.492271580861523,0.336024231778164,0.814058550822013,0.422371666506851
"26","D03","LST_3","LST","FAM",0.63,0,0,8,14989,0.488580014818671,0.542324290825362,"floR","13-06-2023","LST_3",3,"AKH",0.32,31.77,0,"F",3,0,0,1,"N",1.69476340882926,1.52681254630835,0.814058550822013,0.422371666506851
"27","D04","FRY_1","FRY","FAM",0.31,0,0,4,15134,0.27002713721306,0.53062825106217,"floR","18-06-2023","FRY_1",1,"AKH",2.77,59.5,0,"F",3,0,0,2,"N",0.191562545509809,0.0974827210155452,0.0884669244428334,0.0456487479264948
"28","D06","FRY_3","FRY","FAM",0.15,0,0,2,15522,0.139761942375159,0.27763173659828,"floR","18-06-2023","FRY_3",3,"AKH",3.76,66.09,0,"F",3,0,0,2,"N",0.0738382278186914,0.0371707293550954,0.0884669244428334,0.0456487479264948
"29","D07","BEA_1","BEA","FAM",0.08,0,0,1,15494,0.0769610411361284,0.285178942233662,"floR","24-06-2023","BEA_1",1,"AKH",2.65,64.28,0,"M",3,0,0,0,"N",0.107614695182514,0.0290419023155201,0.404719722453423,0.352350977816563
"30","D09","BEA_3","BEA","FAM",0.23,0,1,3,15301,0.207014169384326,0.542324290825362,"floR & tap","24-06-2023","BEA_3",3,"AKH",1.61,53.45,0,"M",3,0,0,0,"N",0.336847385605815,0.128580229431258,0.404719722453423,0.352350977816563
"31","E01","VER_1","VER","FAM",0.55,2,0,5,15004,0.438254930931155,0.536493370514568,"floR & tap","29-06-2023","VER_1",1,"GAC",0.83,38.43,0,"M",3,1,0,0,"N",0.64637755483683,0.528017989073681,0.856481456999754,0.526919084507398
"32","E02","VER_2","VER","FAM",0.65,0,0,8,14548,0.500775287912489,0.85015092936961,"floR","29-06-2023","VER_2",2,"GAC",0.39,31.82,0.5,"M",3,1,0,0,"Y",2.1798741778708,1.28403919977561,0.856481456999754,0.526919084507398
"33","E03","VER_3","VER","FAM",0.08,0,0,1,14523,0.0769610411361284,0.27763173659828,"floR","29-06-2023","VER_3",3,"GAC",0.86,41.27,0.5,"M",3,2,0,0,"Y",0.322827600695674,0.0894895827164284,0.856481456999754,0.526919084507398
"34","E04","MOH_1","MOH","FAM",0.24,0,1,3,14708,0.215111379616945,0.482426149244293,"floR & tap","15-06-2023","MOH_1",1,"AKH",0.74,39.14,0,"M",3,0,0,0,"N",0.651927228708504,0.290691053536413,0.651927228708504,0.19032971642609
"35","E05","MOH_2","MOH","FAM",0.24,0,0,3,14692,0.215111379616945,0.215111379616945,"floR","15-06-2023","MOH_2",2,"AKH",0.54,37.42,0,"F",3,0,0,0,"N",0.398354406698047,0.398354406698047,0.354118632764654,0.221333830531972
"36","E06","MOH_3","MOH","FAM",0.25,0,0,3,14236,0.22314355131421,0.22314355131421,"floR","15-06-2023","MOH_3",3,"AKH",0.84,41.61,0,"F",3,0,0,0,"N",0.265647084897869,0.265647084897869,0.354118632764654,0.221333830531972
"37","A01","BLA_1","BLA","HEX",245,2166,271,10028,514,5.50533153593236,8.17357548663415,"floR & tap","04-06-2023","BLA_1",1,"AKH",0.78,39.32,0,"F",3,0,0,0,"N",10.4789429315822,7.05811735375944,2.43141990251436,1.60574438980147
"38","A02","BLA_2","BLA","HEX",174,1570,180,10500,484,5.16478597392351,9.09234481373847,"floR & tap","04-06-2023","BLA_2",2,"AKH",0.76,41.25,2,"M",3,5,0,0,"Y",11.9636115970243,6.79577101832041,7.97574106468287,4.65606334539001
"39","A03","BLA_3","BLA","HEX",151,1349,234,10614,911,5.02388052084628,8.01367414283268,"floR & tap","04-06-2023","BLA_3",3,"AKH",1.95,56.1,0,"F",2,0,0,0,"N",4.10957648350394,2.57634898504937,2.43141990251436,1.60574438980147
"40","A04","DUG_1","DUG","HEX",84,547,374,9001,3419,4.44265125649032,7.35564110297425,"floR & tap","11-06-2023","DUG_1",1,"AKH",2.15,55.91,0,"F",3,0,0,0,"N",3.42122841998802,2.0663494216234,3.42122841998802,2.0663494216234
"41","A05","DUG_2","DUG","HEX",68,461,184,8152,2720,4.23410650459726,7.43248380791712,"floR & tap","11-06-2023","DUG_2",2,"AKH",2.69,59.06,0,"M",3,0,0,0,"N",2.76300513305469,1.57401728795437,3.32401406261184,2.0646738154488
"42","A06","DUG_3","DUG","HEX",121,870,528,8960,3965,4.80402104473326,7.3038432252777,"floR & tap","11-06-2023","DUG_3",3,"AKH",1.88,56.03,0,"M",3,0,0,0,"N",3.88502299216899,2.55533034294322,3.32401406261184,2.0646738154488
"43","A07","LCL_1","LCL","HEX",178,1646,232,10904,576,5.18738580584075,8.15450017515194,"floR & tap","19-06-2023","LCL_1",1,"AKH",1.71,54.24,0,"M",3,0,0,0,"N",4.76871355272043,3.03355895078407,2.63388796759599,1.72839502679698
"44","A08","LCL_2","LCL","HEX",216,1582,657,10365,771,5.37989735354046,7.95402108727804,"floR & tap","19-06-2023","LCL_2",2,"AKH",3.15,63.65,0,"M",3,0,0,0,"N",2.52508605945335,1.70790392175888,2.63388796759599,1.72839502679698
"45","A09","LCL_3","LCL","HEX",193,1543,622,11109,1052,5.26785815906333,7.9098566672694,"floR & tap","19-06-2023","LCL_3",3,"AKH",2.47,57.47,0,"M",3,0,0,1,"N",3.20237112035198,2.13273609678677,2.63388796759599,1.72839502679698
"46","B01","BRB_1","BRB","HEX",566,4113,1167,8137,403,6.34035930372775,8.04782935745784,"floR & tap","19-06-2023","BRB_1",1,"AKH",0.83,42.04,0,"M",3,0,0,0,"N",9.69617994874439,7.638987112925,6.82245025119325,4.98951491554976
"47","B02","BRB_2","BRB","HEX",531,4725,276,8706,59,6.27664348934164,8.49739856408806,"floR & tap","19-06-2023","BRB_2",2,"AKH",0.72,41.95,0,"F",3,0,0,0,"N",11.8019424501223,8.7175604018634,2.96090185198894,2.17939010046585
"48","B03","BRB_3","BRB","HEX",243,2114,306,9829,723,5.4971682252932,8.07837810362652,"floR & tap","19-06-2023","BRB_3",3,"AKH",0.75,39.52,0,"M",3,0,0,0,"N",10.7711708048354,7.32955763372427,6.82245025119325,4.98951491554976
"49","B04","THE_1","THE","HEX",297,2204,578,8560,1131,5.6970934865054,7.87777633327726,"floR & tap","23-06-2023","THE_1",1,"AKH",4.66,71.82,0,"M",3,2,0,0,"N",1.69050994276336,1.22255225032305,1.93630466450265,1.43769067943791
"50","B05","THE_2","THE","HEX",325,2046,1134,7985,2015,5.78689738136671,7.60589000105312,"floR & tap","23-06-2023","THE_2",2,"AKH",3.39,65.79,0,"M",3,0,0,0,"N",2.24362536904222,1.70704937503443,1.93630466450265,1.43769067943791
